,time/a,0.00,0.10,0.20,simtime
20,2022.5,0.05245454856452953,0.07060755377019988,0.09499757702811486,0.0
21,2022.583333,0.05787390548207124,0.07607417983549432,0.0962888555102452,2629789.480801223
22,2022.666667,0.06711577261904861,0.08343042837589604,0.09846644096016165,5259610.519198777
23,2022.75,0.06982468530688651,0.08599672493187756,0.09996076725741203,7889400.0
24,2022.833333,0.07132038054273157,0.08727246834969216,0.100928371772857,10519189.480801221
25,2022.916667,0.04867366772890393,0.06846465101449241,0.09911208192437976,13149010.519198779
26,2022.999999,0.03906347339591799,0.057653404937702234,0.09476034355032802,15778768.442396494
27,2023.083333,0.03333762647830801,0.05053274741457442,0.09041018174735294,18408589.480801225
28,2023.166667,0.03265215561643716,0.050000398233527074,0.08984609680949403,21038410.519198775
29,2023.25,0.03223934137935483,0.049206979444920404,0.08867179759995006,23668200.0
30,2023.333333,0.04019862762209257,0.057254047521398135,0.08967840909051364,26297989.480801225
31,2023.416667,0.0494109189260879,0.06703709250023815,0.09212665552138724,28927810.519198775
32,2023.5,0.05788465297846846,0.07419646294985695,0.09329614466871736,31557600.0
33,2023.583333,0.06369640325609259,0.07975429099339565,0.09490857747591928,34187389.48080122
34,2023.666667,0.0715096307681718,0.08620598772784,0.09778368060582741,36817210.51919878
35,2023.75,0.07771462694605236,0.09224181991935726,0.10109895905056734,39447000.0
36,2023.833333,0.07459636300861619,0.09048940516878697,0.10203480057716664,42076789.48080122
37,2023.916667,0.04970803348701698,0.06882018103932228,0.09763623571666047,44706610.51919878
38,2023.999999,0.04310478586900778,0.06138922233814303,0.0933795628729837,47336368.442396484
39,2024.083333,0.03920508924612056,0.057050622675610826,0.0912645860052892,49966189.48080122
40,2024.166667,0.04132472815210718,0.05873245993805043,0.09081090198204063,52596010.51919878
41,2024.25,0.039873552453263746,0.05728499613240745,0.09028945617169357,55225800.0
42,2024.333333,0.03847571835818046,0.05556483654450764,0.08959919551054757,57855589.48080122
43,2024.416667,0.05367500248915706,0.06986180476043537,0.09070551413715879,60485410.51919878
44,2024.5,0.05906735067167505,0.0754873992627834,0.09337963741584107,63115200.0
45,2024.583333,0.07268260062892971,0.08663503868843415,0.09680897976748701,65744989.48080122
46,2024.666667,0.07682193562617022,0.09102588739989667,0.0996257219988014,68374810.51919878
47,2024.916667,0.05657429310638328,0.07571075452005802,0.09951341715589429,76264210.51919878
48,2024.999999,0.04059373652195288,0.059298738595883256,0.09307638518001443,78893968.44239649
